Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Account: dashboard,57,0,2700.0,2597.5119677697016,611.9583749969024,3636.5967500023544,11691.649122807017,0.3185762161046881,0.0,2700,2800,2900,3100,3300,3400,3600,3600,3600,3600,3600
GET,Account: my orders,57,0,2600.0,2608.834074578338,673.8306669867598,3905.6441669818014,12102.666666666666,0.3185762161046881,0.0,2600,2900,2900,3000,3200,3300,3700,3900,3900,3900,3900
GET,Asset: media from plants category,137,0,43,57.76663442239179,33.528125000884756,274.8727910220623,49841.0,0.7657007299358293,0.0,43,44,46,47,85,210,250,260,270,270,270
GET,Asset: media from product detail,123,0,43,49.71211151043862,33.82645800593309,125.29183298465796,37083.577235772354,0.6874539400153795,0.0,43,45,46,48,81,88,110,110,130,130,130
GET,Asset: media from store,145,0,42,42.89992442715849,33.3944580052048,85.47254200675525,30667.0,0.8104131813189434,0.0,42,44,44,45,48,55,73,82,85,85,85
GET,Asset: static from home,1800,0,43,81.94305205264956,30.822041997453198,1863.3083750028163,180933.0,10.060301561200676,0.0,43,46,50,61,98,360,500,590,1500,1900,1900
GET,Asset: static from plants category,1513,0,43,46.7702280626905,30.94962501199916,133.2757919735741,41810.74686054197,8.456242367831457,0.0,43,45,46,48,71,87,92,96,130,130,130
GET,Asset: static from product detail,1353,0,43,51.307669454810046,31.468333007069305,556.4800419961102,41695.09090909091,7.561993340169175,0.0,43,45,48,50,83,92,130,170,280,560,560
GET,Asset: static from store,1595,0,43,47.14751903823107,30.95745900645852,233.14462500275113,41695.09090909091,8.914544994508377,0.0,43,45,47,48,73,86,92,100,230,230,230
GET,Auth: dashboard check,25,0,2500.0,2208.1131532788277,336.8848749960307,3789.870082982816,11691.0,0.13972641057223162,0.0,2500,2900,3100,3200,3600,3700,3800,3800,3800,3800,3800
POST,Auth: login POST,25,0,2000.0,2054.1996084013954,588.1034169869963,3895.785791974049,0.0,0.13972641057223162,0.0,2000,2500,3300,3500,3800,3800,3900,3900,3900,3900,3900
GET,Auth: login page,25,0,1600.0,1568.3775517204776,202.6550419977866,3023.2954579987563,10442.0,0.13972641057223162,0.0,1600,1900,2400,2600,2800,2900,3000,3000,3000,3000,3000
GET,Browse: home,150,0,3000.0,2807.180536633047,353.1514589849394,3782.321333012078,20083.0,0.8383584634333897,0.0,3000,3200,3300,3300,3500,3500,3700,3800,3800,3800,3800
GET,Browse: plants category,138,0,2900.0,2895.8134819047805,2027.300749992719,3921.3120419881307,17051.0,0.7712897863587185,0.0,2900,3000,3100,3200,3400,3600,3800,3800,3900,3900,3900
GET,Browse: product detail,125,2,2800.0,2823.52543070307,16.019875009078532,3737.951916991733,26599.432,0.698632052861158,0.01117811284577853,2800,3000,3100,3200,3300,3400,3500,3600,3700,3700,3700
GET,Browse: search,129,0,2800.0,2811.645717682703,2153.183042013552,3684.51137500233,14089.84496124031,0.7209882785527152,0.0,2800,3000,3000,3100,3400,3400,3600,3600,3700,3700,3700
GET,Browse: store,147,1,3000.0,2971.8287066260723,7.745750015601516,3884.6332500106655,21385.52380952381,0.8215912941647219,0.005589056422889265,3000,3200,3300,3400,3500,3700,3800,3900,3900,3900,3900
POST,Cart: add item POST,54,1,6200.0,6057.293605701825,2980.2728749928065,7597.039959015092,37153.42592592593,0.3018090468360203,0.005589056422889265,6300,6500,6700,6800,7000,7100,7300,7600,7600,7600,7600
GET,Cart: seed from store,89,0,3100.0,3059.1895295603963,2303.971334011294,3953.2850839896128,22772.74157303371,0.49742602163714456,0.0,3100,3200,3300,3300,3500,3600,3900,4000,4000,4000,4000
POST,Cart: seed item,82,0,6000.0,6069.108552331383,5083.052834001137,7206.444000010379,37837.58536585366,0.4583026266769197,0.0,6000,6200,6500,6500,6800,6900,7000,7200,7200,7200,7200
GET,Cart: store before add,57,1,2900.0,2878.9908618593727,18.15854202141054,3740.5542499909643,22373.140350877195,0.3185762161046881,0.005589056422889265,2900,3100,3200,3300,3400,3600,3700,3700,3700,3700,3700
GET,Cart: view,53,0,3200.0,3134.9023215665993,2242.249124974478,3823.112832993502,37835.622641509435,0.296219990413131,0.0,3200,3300,3400,3400,3500,3700,3800,3800,3800,3800,3800
GET,Checkout: page,80,0,3000.0,2943.893712024146,2066.531541000586,3555.6943750125356,21219.3,0.44712451383114116,0.0,3000,3100,3100,3200,3400,3400,3500,3600,3600,3600,3600
GET,Customer: home,57,0,2600.0,2713.856695157582,1729.6810419938993,3771.3256670103874,21329.666666666668,0.3185762161046881,0.0,2600,2900,2900,3100,3400,3600,3700,3800,3800,3800,3800
GET,Customer: product detail,57,0,2800.0,2883.5065305950898,2152.566915989155,3818.696625006851,28368.35087719298,0.3185762161046881,0.0,2800,3000,3200,3200,3500,3600,3600,3800,3800,3800,3800
GET,Customer: store,57,0,2700.0,2745.2192587385834,1343.5808750218712,3568.088958010776,22772.666666666668,0.3185762161046881,0.0,2700,2900,3000,3100,3300,3400,3500,3600,3600,3600,3600
POST,Profile: cart add,80,0,5700.0,5734.0751031268155,2151.7874999844935,7130.466665985296,37836.5125,0.44712451383114116,0.0,5700,6100,6400,6400,6700,6800,6900,7100,7100,7100,7100
GET,Profile: cart read,29,0,3000.0,2996.727277240756,1891.0194160125684,3819.4319579924922,37835.1724137931,0.1620826362637887,0.0,3000,3200,3200,3300,3400,3600,3800,3800,3800,3800,3800
GET,Profile: cart store page,83,0,2900.0,2906.996376469173,623.197834007442,3889.839249983197,22772.710843373494,0.463891683099809,0.0,2900,3100,3200,3300,3500,3700,3900,3900,3900,3900,3900
GET,Profile: checkout read,29,0,2900.0,2926.5877787276686,2360.3192919981666,3595.845542004099,21216.48275862069,0.1620826362637887,0.0,2900,3000,3100,3100,3300,3600,3600,3600,3600,3600,3600
,Aggregated,8351,5,44,695.6007800984605,7.745750015601516,7597.039959015092,67791.63034367142,46.67421018754825,0.027945282114446322,44,52,90,730,3000,3300,5500,6200,7000,7600,7600
